event_id,house,sale_title,city,sale_date_local,timezone,catalog_url,result_url,is_key_evening_sale,month,status,source_sale_event_id
christies-30991-2026-03-05,Christie's,20th/21st Century: London Evening Sale,London,2026-03-05,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=30991&salenumber=24180&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,Y,3,done,s1
christies-30992-2026-03-05,Christie's,The Art of the Surreal Evening Sale,London,2026-03-05,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=30992&salenumber=24181&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,Y,3,done,s2
christies-31311-2026-03-05,Christie's,Modern Visionaries - Evening Sale,London,2026-03-05,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=31311&salenumber=24750&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,Y,3,done,s3
christies-30994-2026-03-06,Christie's,Impressionist & Modern Art Day Sale,London,2026-03-06,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=30994&salenumber=24183&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,N,3,done,s4
christies-31312-2026-03-06,Christie's,Modern Visionaries - Day Sale,London,2026-03-06,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=31312&salenumber=24751&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,N,3,done,s5
christies-30993-2026-03-07,Christie's,Post-War & Contemporary Art Day Sale,London,2026-03-07,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=30993&salenumber=24182&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,N,3,done,s6
christies-30937-2026-03-07,Christie's,Spellbound: The Hegewisch Collection,London,2026-03-07,Europe/London,https://www.christies.com/api/discoverywebsite/auctionpages/lotsearch?language=en&pagesize=120&geocountrycode=US&saleid=30937&salenumber=23970&saleroomcode=CKS&page=1&sortby=lot_number_asc&saletype=Sale,,N,3,done,s7
sothebys-l26002-2026-03-04,Sotheby's,Modern & Contemporary Evening Auction,London,2026-03-04,Europe/London,https://www.sothebys.com/en/buy/auction/2026/modern-contemporary-evening-auction-l26002,https://www.sothebys.com/en/buy/auction/2026/modern-contemporary-evening-auction-l26002,Y,3,done,ss1
sothebys-l26003-2026-03-05,Sotheby's,Contemporary Day Auction,London,2026-03-05,Europe/London,https://www.sothebys.com/en/buy/auction/2026/contemporary-day-auction-l26003,https://www.sothebys.com/en/buy/auction/2026/contemporary-day-auction-l26003,N,3,done,ss2
sothebys-l26004-2026-03-05,Sotheby's,Modern & Modern British Day Auction,London,2026-03-05,Europe/London,https://www.sothebys.com/en/buy/auction/2026/modern-day-auction-l26004,https://www.sothebys.com/en/buy/auction/2026/modern-day-auction-l26004,N,3,done,ss3
sothebys-l26022-2026-03-05,Sotheby's,The David Hockney Sale: The Arrival of Spring,London,2026-03-05,Europe/London,https://www.sothebys.com/en/buy/auction/2026/the-david-hockney-sale-the-arrival-of-spring-l26022,https://www.sothebys.com/en/buy/auction/2026/the-david-hockney-sale-the-arrival-of-spring-l26022,N,3,done,ss4
christies-24598-2026-04-15,Christie's,20/21 Century Art - Evening Sale,Paris,2026-04-15,Europe/Paris,https://www.christies.com/en/auction/20-21-century-art-evening-sale-24598-par/,,Y,4,planned,
christies-24483-2026-05-26,Christie's,Design,Paris,2026-05-26,Europe/Paris,https://www.christies.com/en/auction/design-24483-par/,,N,5,planned,
